Footprints on the Moon,Luigi Bazzoni,"Florinda Bolkan, Peter McEnery, Nicoletta Elmi",Italy,nan
The Giant Spider Invasion,Bill Rebane,"Steve Brodie, Barbara Hale, Robert Easton",United States,nan
The Great Battle of the Flying Saucers,Yugo Serikawa,"Isao Sasaki (voice), Noriko Ohara (voice), Minori Matsushima (voice)",Japan,Anime short film
Great Mazinger vs. Getter Robo,Masayuki Akehi,"Akira Kamiya (voice), Junji Yamada (voice), Keiichi Noda (voice)",Japan,Anime short film crossover of the super robot anime series Great Mazinger and Getter Robo
Great Mazinger vs. Getter Robo G: The Great Sky Clash,Masayuki Akehi,"Akira Kamiya (voice), Junji Yamada (voice), Keiichi Noda (voice)",Japan,Anime short film crossover of the super robot anime series Great Mazinger and Getter Robo G
A Great Space Voyage,Valentin Selivanov,"Lyudmila Berlinskaya, Sergey Obrazov, Igor' Sakharov",Soviet Union,nan
Hanuman and the Five Riders,Sompote Sands,"Yodchai Meksuwan, Thanyarat Lohanan, Akiji Kobayashi",Thailand,"Tokusatsu, superhero"
Hu-Man,Jérôme Laperrousaz,"Terence Stamp, Jeanne Moreau, Agnès Stevenin",France,nan
The Land That Time Forgot,Kevin Connor,"Doug McClure, John McEnery, Susan Penhaligon",United KingdomUnited States,nan
A Long Return,Pedro Lazaga,"Mark Burns, Lynne Frederick, Charo López",Spain,nan
The Noah,Daniel Bourla,"Robert Strauss, Geoffrey Holder, Sally Kirkland",United States,nan
The Rocky Horror Picture Show,Jim Sharman,"Tim Curry, Susan Sarandon, Barry Bostwick",United KingdomUnited States,"Musical, comedy horror"
Rollerball,Norman Jewison,"James Caan, John Houseman, Maud Adams",United KingdomUnited States,[nb 8]
Shivers,David Cronenberg,"Paul Hampton, Joe Silver, Lynn Lowry",Canada,nan
The Stepford Wives,Bryan Forbes,"Katharine Ross, Paula Prentiss, Peter Masterson",United States,nan
The Strongest Man in the World,Vincent McEveety,"Kurt Russell, Joe Flynn, Eve Arden",United States,nan
The Super Inframan,Hua-Shan,"Danny Lee, Terry Liu, Hsieh Wang",Hong Kong,nan
Teens in the Universe,Richard Viktorov,"Mikhail Yershov, Aleksandr Grigor'yev, Vladimir Savin",Soviet Union,nan
The Ultimate Warrior,Robert Clouse,"Yul Brynner, Max von Sydow, Joanna Miles",United States,nan
1976,1976,1976,1976,1976
Title,Director,Cast,Country,Subgenre/Notes
Any Day Now,Roeland Kerbosch,"Ansje van Brandenberg, Huib Broos, Ton van Duinhoven",Netherlands,nan
At the Earth's Core,Kevin Connor,"Doug McClure, Peter Cushing, Caroline Munro",United KingdomUnited States,nan
Embryo,Ralph Nelson,"Rock Hudson, Barbara Carrera, Diane Ladd",United States,nan
The Food of the Gods,Bert I. Gordon,"Marjoe Gortner, Pamela Franklin, Ralph Meeker",United States,nan
Futureworld,Richard T. Heffron,"Peter Fonda, Blythe Danner, Arthur Hill",United States,nan
God Told Me To,Larry Cohen,"Tony Lo Bianco, Deborah Raffin, Sandy Dennis",United States,nan
"Grendizer, Getter Robo G, Great Mazinger: Decisive Battle! The Great Sea Monster",Masayuki Akehi,"Kei Tomiyama (voice), Hiroya Ishimaru (voice), Keiichi Noda (voice)",Japan,"Anime short film crossover of the super robot anime series UFO Robot Grendizer, Getter Robo G and Great Mazinger"
In the Dust of the Stars,Gottfried Kolditz,"Jana Brejchová, Alfred Struwe, Ekkehard Schall",East Germany,nan
Logan's Run,Michael Anderson,"Michael York, Jenny Agutter, Richard Jordan",United States,[nb 9]
The Man Who Fell to Earth,Nicolas Roeg,"David Bowie, Rip Torn, Candy Clark",United Kingdom,[nb 10]
UFO Robot Grendizer vs. Great Mazinger,Osamu Kasai,"Kei Tomiyama (voice), Hiroya Ishimaru (voice), Joji Yanami (voice)",Japan,Anime short film crossover of the super robot anime series UFO Robot Grendizer and Great Mazinger
1977,1977,1977,1977,1977
Title,Director,Cast,Country,Subgenre/Notes
Capricorn One,Peter Hyams,"Elliot Gould, James Brolin, Sam Waterston",United States,nan
Close Encounters of the Third Kind,Steven Spielberg,"Richard Dreyfuss, François Truffaut, Teri Garr",United States,[nb 11]
Cosmos: War of the Planets,Alfonso Brescia,"John Richardson, Yanti Somer, West Buchanan",Italy,nan
Damnation Alley,Jack Smight,"Jan-Michael Vincent, George Peppard, Dominique Sanda",United States,nan
Demon Seed,Donald Cammell,"Julie Christie, Fritz Weaver, Gerrit Graham",United States,nan
Empire of the Ants,Bert I. Gordon,"Joan Collins, Robert Lansing, John David Carson",United States,nan
End of the World,John Hayes,"Christopher Lee, Sue Lyon, Kirk Scott",United States,nan
The Glitterball,Harley Cockliss,"Ben Buckton, Keith Jayne, Ron Pember",United Kingdom,nan
The Incredible Melting Man,William Sachs,"Alex Rebar, Burr DeBenning, Myron Healey",United States,Horror
The Island of Dr. Moreau,Don Taylor,"Burt Lancaster, Michael York, Nigel Davenport",United States,nan
Kingdom of the Spiders,John Cardos,"William Shatner, Tiffany Bolling, Woody Strode",United States,nan
Legend of Dinosaurs & Monster Birds,Junji Kurata,"Tsunehiko Watase, Nobiko Sawa, Shotaro Hayashi",Japan,nan
The People That Time Forgot,Kevin Connor,"Patrick Wayne, Doug McClure, Sarah Douglas, Dana Gillespie",United KingdomUnited States,nan
Planet of Dinosaurs,James K. Shea,"Mary Appleseth, Harvey Shain, Derna Wylde",United States,nan
Polygon,Anatoliy Petrov,"Anatoliy Kuznetsov (voice), Aleksandr Belyavskiy (voice), Vsevolod Yakut (voice)",Soviet Union,Animated short film
Prey,Norman J. Warren,"Barry Stokes, Sally Faulkner, Glory Annen Clibbery",United Kingdom,nan
Rabid,David Cronenberg,"Marilyn Chambers, Frank Moore, Joe Silver",CanadaUnited States,nan
Star Wars,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",United States,[nb 12]
Starship Invasions,Ed Hunt,"Robert Vaughn, Christopher Lee, Daniel Pilon",Canada,nan
Sunday,Avo Paistik,nan,Soviet Union,Animated short film. Estonian title: Pühapäev[55]
Welcome to Blood City,Peter Sasdy,"Jack Palance, Keir Dullea, Samantha Eggar",CanadaUnited Kingdom,nan
Wizards,Ralph Bakshi,"Jesse Welles (voice), Bob Holt (voice), Richard Romanus (voice)",United States,Animated film
1978,1978,1978,1978,1978
Title,Director,Cast,Country,Subgenre/Notes
The Alien Factor,Donald M. Dohler,"Don Leifert, Tom Griffith, Richard Dyszel",United States,Horror
The Alpha Incident,Bill Rebane,"Ralph Meeker, Stafford Morgan, John F. Goff",United States,Horror
Battlestar Galactica,Richard A. Colla,"Lorne Greene, Dirk Benedict, Richard Hatch",United States,Theatrical release
The Bermuda Triangle,René Cardona Jr.,"John Huston, Gloria Guida, Marina Vlady",MexicoItaly,Horror
Blue Christmas,Kihachi Okamoto,"Hiroshi Katsuno, Keiko Takeshita, Eiji Okada",Japan,nan
The Boys from Brazil,Franklin J. Schaffner,"Gregory Peck, Laurence Olivier, James Mason",United KingdomUnited States,Thriller
The Cat from Outer Space,Norman Tokar,"Ken Berry, Sandy Duncan, Harry Morgan",United States,Comedy
Contact,Vladimir Tarasov,nan,Soviet Union,Animated short film
Deathsport,"Allan Arkush, Nicholas Niciphor, Roger Corman","David Carradine, Claudia Jennings, Richard Lynch",United States,nan
Farewell to Space Battleship Yamato: In the Name of Love,"Toshio Masuda, Leiji Matsumoto","Kei Tomiyama (voice), Yôko Asagami (voice), Gorô Naya (voice)",Japan,nan
The Fury,Brian De Palma,"Kirk Douglas, John Cassavetes, Amy Irving",United States,Supernatural thriller
Hardware Wars,Ernie Fosselius,"Frank Robertson, Scott Mathews, Jeff Hale",United States,Short film parody of a teaser trailer for Star Wars
Invasion of the Body Snatchers,Philip Kaufman,"Donald Sutherland, Brooke Adams, Jeff Goldblum, Veronica Cartwright",United States,Horror[nb 13]
Laserblast,Michael Rae,"Kim Milford, Cheryl Smith, Gianni Russo",United States,nan
Libra,Patty Newman,"Wayne Grace, Gordon Ross, Jim Hess",United States,Short film[56][57][58][59]
The Medusa Touch,Jack Gold,"Richard Burton, Lee Remick, Lino Ventura",United KingdomFrance,"Supernatural thriller, horror"
Message from Space,Kinji Fukasaku,"Vic Morrow, Sonny Chiba, Philip Casnoff",Japan,Space opera
Patrick,Richard Franklin,"Susan Penhaligon, Robert Helpmann, Rod Mullinar",Australia,Horror
Return from Witch Mountain,John Hough,"Bette Davis, Christopher Lee, Kim Richards",United States,Adventure
Science Ninja Team Gatchaman: The Movie,Hisayuki Toriumi,"Katsuji Mori (voice), Isao Sasaki (voice), Kazuko Sugiyama (voice)",Japan,Anime film version of the anime series Science Ninja Team Gatchaman
Starcrash,Luigi Cozzi,"Marjoe Gortner, Caroline Munro, Christopher Plummer",United States,Space opera
Stop 88: Alert Limit,José de Anchieta,"Regina Duarte, Joel Barcellos, Yara Amaral",Brazil,Eco-dystopian film. Portuguese title: Parada 88: O Limite de Alerta[60][61][62][63][64][65][66][67]
Superman,Richard Donner,"Marlon Brando, Gene Hackman, Christopher Reeve",United KingdomSwitzerlandPanamaUnited States,Superhero[nb 14]
The Swarm,Irwin Allen,"Michael Caine, Katharine Ross, Richard Widmark",United States,"Disaster, horror"
Warlords of Atlantis,Kevin Connor,"Doug McClure, Peter Gilmore, Shane Rimmer",United Kingdom,Fantasy
Xenogenesis,James Cameron,"William Wisher Jr., Margaret Umbel",United States,Short film
1979,1979,1979,1979,1979
Title,Director,Cast,Country,Subgenre/Notes
Alien,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt",United KingdomUnited States,[nb 15]
The Black Hole,Gary Nelson,"Maximilian Schell, Anthony Perkins, Robert Forster",United States,nan
The Brood,David Cronenberg,"Oliver Reed, Samantha Eggar, Art Hindle",Canada,nan
Buck Rogers in the 25th Century,Daniel Haller,"Gil Gerard, Erin Gray, Pamela Hensley",United States,nan
Flying Towards the Future,"Xiaoya Lu, Ling Miao","Yun Qu, Ling Huang",China,Children's film[68]
The Fortress,Miklós Szinetár,"Bella Tanay, Sándor Oszter, József Madaras",Hungary,nan
Galaxy Express 999,Rintaro,"Masako Nozawa (voice), Masako Ikeda (voice), Yôko Asagami (voice)",Japan,nan
G.I. Samurai,Kosei Saito,"Sonny Chiba, Jun Etô, Moeko Ezawa",Japan,nan
Goldengirl,Joseph Sargent,"Susan Anton, James Coburn, Curd Jürgens",United States,nan
H. G. Wells' The Shape of Things to Come,George McCowan,"Jack Palance, Carol Lynley, Barry Morse",Canada,nan
The Hamburg Syndrome,Peter Fleischmann,"Helmut Griem, Fernando Arrabal, Carline Seiser",West GermanyFrance,nan
The Humanoid,Aldo Lado,"Richard Kiel, Corinne Cléry, Leonard Mann",Italy,nan
Island of the Fishmen,Sergio Martino,"Barbara Bach, Claudio Cassinelli, Richard Johnson",Italy,nan
Little Orbit the Astrodog and the Screechers from Outer Space,Jean Image,nan,France,nan
Mad Max,George Miller,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne",Australia,nan
The Medic,Pierre Granier-Deferre,"Alain Delon, Véronique Jannot, Bernard Giraudeau",FranceWest Germany,nan
Meteor,Ronald Neame,"Sean Connery, Natalie Wood, Karl Malden",United StatesHong Kong,nan
Moonraker,Lewis Gilbert,"Roger Moore, Lois Chiles, Michel Lonsdale",United KingdomFranceUnited States,nan
Outer Touch,Norman J. Warren,"Barry Stokes, Tony Maiden, Glory Annen Clibbery",United Kingdom,nan
Phantasm,Don Coscarelli,"Michael Baldwin, Bill Thornbury, Reggie Bannister",United States,nan
Plague,Ed Hunt,"Daniel Pilon, Kate Reid, Céline Lomez",CanadaUnited States,nan
Quintet,Robert Altman,"Paul Newman, Vittorio Gassman, Fernando Rey",United States,nan
Ravagers,Richard Compton,"Richard Harris, Ernest Borgnine, Ann Turkel",United States,nan
Shooting Range,Vladimir Tarasov,nan,Soviet Union,Animated short film
Stalker,Andrey Tarkovskiy,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn",Soviet Union,Art film
Star Trek: The Motion Picture,Robert Wise,"William Shatner, Leonard Nimoy, DeForest Kelley",United States,nan
Supersonic Man,Juan Piquer Simón,"Antonio Cantafora, Cameron Mitchell, Diana Polakov",Spain,nan
The Thing in the Castle,Gottfried Kolditz,"Erwin Geschonneck, Vlastimil Brodský, Jaecki Schwarz",East Germany,German title: Das Ding im Schloß[69][70][71][72][73]
Thirst,Rod Hardy,"Chantal Contouri, Shirley Cameron, Max Phipps",Australia,Horror
Time After Time,Nicholas Meyer,"Malcolm McDowell, Mary Steenburgen, David Warner",United States,nan
Under the Constellation Gemini,Boris Ivchenko,"Vsevolod Gavrilov, Gennadiy Shkuratov, Boris Belov",Soviet Union,nan
Unidentified Flying Oddball,Russ Mayberry,"Dennis Dugan, Jim Dale, Ron Moody",United KingdomUnited States,nan
I viaggiatori della sera,Ugo Tognazzi,"Ugo Tognazzi, Ornella Vanoni, Roberta Paladini",ItalySpain,nan
The Visitor,Giulio Paradisi,"Mel Ferrer, Glenn Ford, Lance Henriksen",ItalyUnited States,nan
The Year of the Plague,Felipe Cazals,"Alejandro Parodi, José Carlos Ruiz, Rebeca Silva",Mexico,nan
