Title,Director,Cast,Country,Subgenre
Heartbeeps,Allan Arkush,"Andy Kaufman, Bernadette Peters, Randy Quaid",United States,nan
Heavy Metal,Gerald Potterton,"Rodger Bumpass (voice), Jackie Burroughs (voice), John Candy (voice), Eugene Levy (voice)",United StatesCanada,nan
The Incredible Shrinking Woman,Joel Schumacher,"Lily Tomlin, Charles Grodin, Ned Beatty, Henry Gibson, John Glover",United States,nan
Inseminoid,Norman J. Warren,"Judy Geeson, Heather Wright, Trevor Thomas, Stephanie Beacham",United Kingdom,USA title: Horror Planet
Klaabu in Space,Avo Paistik,nan,Soviet Union,Animated short film. Estonian title: Klaabu kosmoses[11]
The Last Chase,Martyn Burke,"Lee Majors, Burgess Meredith, Chris Makepeace",United States,nan
Looker,Michael Crichton,"Albert Finney, James Coburn, Susan Dey",United States,nan
Mad Max 2,George Miller,Mel Gibson,Australia,nan
Malevil,Christian de Chalonge,"Michel Serrault, Jacques Dutronc, Jacques Villeret",FranceWest Germany,nan
Memoirs of a Survivor,David Gladwell,"Julie Christie, Christopher Guard, Leonie Mellinger",United Kingdom,nan
Mobile Suit Gundam,"Ryôji Fujiwara, Yoshiyuki Tomino","Tôru Furuya (voice), Hirotaka Suzuoki (voice), Shôzô Iizuka (voice), Toshio Furukawa (voice)",Japan,nan
Mobile Suit Gundam II: Soldiers of Sorrow,"Yoshikazu Yasuhiko, Yoshiyuki Tomino","Tôru Furuya (voice), Shûichi Ikeda (voice), Hirotaka Suzuoki (voice), Fuyumi Shiraishi (voice)",Japan,nan
The Mystery of the Third Planet,Roman Kachanov,"Vasiliy Livanov (voice), Yuriy Andreyev (voice), Grigoriy Shpigel' (voice)",Soviet Union,Animated film
Nuclear Shelter,Roberto Pires,"Conceição Senna, Sasso Alano, Roberto Pires",Brazil,Eco-dystopian film. Portuguese title: Abrigo Nuclear[12][13][14][15][16]
The Orion Loop,Vasiliy Levin,"Leonid Bakshtayev, Gennadiy Shkuratov, Anatoliy Mateshko",Soviet Union,nan
Outland,Peter Hyams,"Sean Connery, Peter Boyle, Frances Sternhagen",United Kingdom,nan
Per Aspera Ad Astra,Richard Viktorov,"Aleksandr Mikhajlov, Gleb Strizhenov, Alexander Lazarev",Soviet Union,Alternate titles: Through the Thorns to the Stars; Humanoid Woman
Scanners,David Cronenberg,"Stephen Lack, Jennifer O'Neill, Patrick McGoohan",Canada,nan
Scared to Death,William Malone,John Stinson,United States,nan
Space Warrior Baldios,Kazuyuki Hirokawa,nan,Japan,nan
The War of the Worlds: Next Century,Piotr Szulkin,"Roman Wilhelmi, Krystyna Janda, Mariusz Dmochowski",Poland,nan
1982,1982,1982,1982,1982
1990: The Bronx Warriors,Enzo G. Castellari,"Vic Morrow, Christopher Connelly, Fred Williamson",Italy,nan
The Aftermath,Steve Barkett,"Sid Haig, Forrest J Ackerman, Jim Danforth",United States,UK title: Zombie Aftermath
Airplane II: The Sequel,Ken Finkleman,"Robert Hays, Julie Hagerty, Lloyd Bridges",United States,nan
Anno 2020 - I gladiatori del futuro,Joe D'Amato,"Harrison Muller, Al Cliver, Sabrina Siani",Italy,[18]
Android,Aaron Lipstadt,"Klaus Kinski, Brie Howard, Norbert Weisser",United States,[nb 2]
Blade Runner,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, Daryl Hannah",United StatesHong Kong,[nb 3]
Button,Vladimir Tarasov,nan,Soviet Union,Animated short film
Café Flesh,Stephen Sayadian,"Michelle Bauer, Richard Belzer",United States,nan
Cat People,Paul Schrader,"Nastassja Kinski, John Heard, Malcolm McDowell",United States,nan
Chronopolis,Piotr Kamler,nan,France,Animated film
Crosstalk,Mark Egerton,"Gary Day, Penny Downie, John Ewart",Australia,nan
E.T. the Extra-Terrestrial,Steven Spielberg,"Henry Thomas, Dee Wallace, Peter Coyote, Drew Barrymore, Robert MacNaughton",United States,[nb 4]
Endangered Species,Alan Rudolph,"Robert Urich, JoBeth Williams, Paul Dooley",United States,[19]
Forbidden World,Allan Holzman,"Jesse Vint, June Chadwick",United States,nan
Kamikaze 1989,Wolf Gremm,"Rainer Werner Fassbinder, Günther Kaufmann, Boy Gobert, Arnold Marquis",West Germany,[20]
The Masters of Time,René Laloux,"Jean Valmont (voice), Michel Elias (voice), Frédéric Legros (voice), Yves-Marie Maurin (voice)",FranceWest GermanySwitzerlandUnited KingdomHungary,Animated film
Megaforce,Hal Needham,"Barry Bostwick, Persis Khambatta, Michael Beck, Henry Silva",United States,nan
Mobile Suit Gundam III: Encounters in Space,"Yoshiyuki Tomino, Yoshikazu Yasuhiko","Tôru Furuya (voice), Shûichi Ikeda (voice), Hirotaka Suzuoki (voice), Yô Inoue (voice)",Japan,nan
The New Barbarians,Enzo G. Castellari,"Fred Williamson, Anna Kanakis, Venantino Venantini",Italy,[nb 5]
Nightbeast,Don Dohler,"Donald Leifert, Tom Griffiths",United States,Horror
Parasite,Charles Band,"Robert Glaudini, Demi Moore",United States,Horror
Queen Millennia,Masayuki Akehi,"Keiko Han (voice), Keiko Toda (voice), Ichirô Nagai (voice), Mami Koyama (voice)",Japan,nan
Space Adventure Cobra,Osamu Dezaki,"Shigeru Matsuzaki (voice), Ryoko Sakakibara (voice), Akiko Nakamura (voice), Toshiko Fujita (voice)",Japan,nan
Star Trek II: The Wrath of Khan,Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, Nichelle Nichols, George Takei, Ricardo Montalbán",United States,[nb 6]
Swamp Thing,"Wes Craven, Walter von Huene","Louis Jourdan, Adrienne Barbeau, Ray Wise",United States,nan
The Thing,John Carpenter,"Kurt Russell, Wilford Brimley, T. K. Carter, Keith David, Donald Moffat, Charles Hallahan, David Clennon",United States,[nb 7]
Timerider: The Adventure of Lyle Swann,William Dear,"Fred Ward, Belinda Bauer, Peter Coyote, Richard Masur, Ed Lauter, Chris Mulkey, Tracy Walter",United States,nan
Time Walker,Tom Kennedy,"Ben Murphy, Nina Axelrod, Kevin Brophy",United States,nan
Tron,Steven Lisberger,"Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan",United States,[nb 8]
Turkey Shoot,Brian Trenchard-Smith,"Steve Railsback, Olivia Hussey, Michael Craig",Australia,nan
Warlords of the 21st Century,Harley Cokliss,"Michael Beck, Annie McEnroe, James Wainwright",United States,[21][nb 9]
Zapped!,Robert J. Rosenthal,"Scott Baio, Willie Aames, Heather Thomas, Robert Mandan",United States,nan
1983,1983,1983,1983,1983
"2019, After the Fall of New York",Sergio Martino,"Michael Sopkiw, Valentine Monnier, Anna Kanakis",ItalyFrance,nan
Anna to the Infinite Power,Robert Wiemer,"Martha Byrne, Dina Merrill",United States,nan
The Atlantis Interceptors,Ruggero Deodato,Ivan Rassimov,Italy,nan
Born in Flames,Lizzie Borden,"Jeanne Satterfield, Adele Bertei, Becky Johnston",United States,nan
Brainstorm,Douglas Trumbull,"Christopher Walken, Natalie Wood, Louise Fletcher",United States,nan
BrainWaves,Ulli Lommel,"Keir Dullea, Suzanna Love, Vera Miles, Tony Curtis",United States,[25]
The Creature Wasn't Nice,Bruce Kimmel,"Leslie Nielsen, Cindy Williams, Gerrit Graham",United States,nan
Crusher Joe,Yoshikazu Yasuhiko,nan,Japan,nan
The Dead Zone,David Cronenberg,"Christopher Walken, Brooke Adams, Tom Skerritt, Martin Sheen",United States,nan
The Deadly Spawn,Douglas McKeown,"Charles George Hildebrandt, Tom DeFranco, Richard Lee Porter",United States,nan
Endgame,Joe D'Amato,"Al Cliver, Laura Gemser, George Eastman",Italy,nan
Escape from the Bronx,Enzo G. Castellari,"Mark Gregory, Henry Silva, Valeria D'Obici",Italy,nan
Exterminators of the Year 3000,Giuliano Carmineo,"Robert Iannucci, Alicia Moro, Eduardo Fajardo",Italy,nan
Final Yamato,"Tomoharu Katsumata, Yoshinobu Nishizaki, Toshio Masuda","Kei Tomiyama (voice), Yôko Asagami (voice), Gorô Naya (voice), Isao Sasaki (voice)",Japan,nan
Halloween III: Season of the Witch,Tommy Lee Wallace,"Tom Atkins, Stacey Nelkin, Dan O'Herlihy",United States,nan
Harmagedon,Rintaro,"Tôru Furuya (voice), Mami Koyama (voice), Masako Ikeda (voice), Keiko Han (voice)",Japan,nan
Kometa,Richard Viktorov,"Nadezhda Semencova, Anatolij Kuznecov",Soviet Union,Comedy
Krull,Peter Yates,"Ken Marshall, Lysette Anthony, Freddie Jones",United KingdomUnited States,nan
The Last Battle,Luc Besson,"Pierre Jolivet, Jean Bouise, Fritz Wepper",France,nan
Liquid Sky,Slava Tsukerman,"Anne Carlisle, Paula Sheppard, Susan Doukas",United States,nan
Metalstorm: The Destruction of Jared-Syn,Charles Band,"Jeffrey Byron, Tim Thomerson, Kelly Preston, Richard Moll",United States,nan
The Pod People,Juan Piquer Simón,"Óscar Martín, Concha Cuetos, Manuel Pereiro",SpainFrance,nan
Prisoners of the Lost Universe,Terry Marcel,"Richard Hatch, Kay Lenz, John Saxon",United Kingdom,nan
The Prize of Peril,Yves Boisset,"Gérard Lanvin, Michel Piccoli, Marie-France Pisier",FranceYugoslavia,nan
Return of the Jedi,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",United States,[nb 10]
Rock & Rule,Clive A. Smith,"Paul Le Mat (voice), Deborah Harry (voice), Don Francks (voice)",Canada,nan
Space Raiders,Howard R. Cohen,"Vince Edwards, David Mendenhall, Patsy Pease",United States,nan
Spacehunter: Adventures in the Forbidden Zone,Lamont Johnson,"Peter Strauss, Molly Ringwald, Ernie Hudson, Michael Ironside",United States,nan
Strange Invaders,Michael Laughlin,"Paul Le Mat, Nancy Allen, Diana Scarwid",CanadaUnited States,nan
Superman III,Richard Lester,"Christopher Reeve, Richard Pryor, Robert Vaughn, Annette O'Toole",United States,nan
Twilight Zone: The Movie,"Joe Dante, John Landis, Steven Spielberg, George Miller","Dan Aykroyd, Albert Brooks, John Lithgow, Kathleen Quinlan",United States,nan
Urusei Yatsura: Only You,Mamoru Oshii,"Fumi Hirano (voice), Toshio Furukawa (voice), Saeko Shimazu (voice)",Japan,First film in the Urusei Yatsura film series
Videodrome,David Cronenberg,"James Woods, Sonja Smits, Debbie Harry",Canada,nan
Warrior of the Lost World,David Worth,"Robert Ginty, Persis Khambatta, Donald Pleasence, Fred Williamson",Italy,nan
Wavelength,Mike Gray,"Robert Carradine, Cherie Currie, Keenan Wynn",United States,nan
Xabungle Graffiti,Yoshiyuki Tomino,nan,Japan,nan
Xtro,Harry Bromley Davenport,"Philip Sayer, Bernice Stegers, Danny Brainin",United Kingdom,nan
"Yor, the Hunter from the Future",Antonio Margheriti,"Reb Brown, Corinne Cléry, John Steiner",ItalyFranceTurkey,nan
1984,1984,1984,1984,1984
2010,Peter Hyams,"Roy Scheider, John Lithgow, Helen Mirren, Keir Dullea",United States,[nb 11]
The Adventures of Buckaroo Banzai Across the 8th Dimension,W. D. Richter,"Peter Weller, John Lithgow, Jeff Goldblum, Christopher Lloyd",United States,nan
Bloodsuckers from Outer Space,Glen Coburn,"Thom Meyes, Dennis Letts, Laura Ellis",United States,nan
The Brother from Another Planet,John Sayles,"Joe Morton, Darryl Edwards, Steve James",United States,nan
Dreamscape,Joseph Ruben,"Dennis Quaid, Max von Sydow, Christopher Plummer",United States,nan
Dune,David Lynch,"Francesca Annis, Leonardo Cimino, Brad Dourif",United States,nan
Electric Dreams,Steve Barron,"Lenny Von Dohlen, Virginia Madsen, Bud Cort",United States,nan
The Ewok Adventure,John Korty,"Eric Walker, Warwick Davis, Tony Cox, Fionnula Flanagan",United States,[26]
The Element of Crime,Lars von Trier,"Michael Elphick, Esmond Knight, Me Me Lai",Denmark,nan
Firestarter,Mark L. Lester,"Drew Barrymore, David Keith, George C. Scott, Martin Sheen, Heather Locklear",United States,nan
Ghostbusters,Ivan Reitman,"Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver, Ernie Hudson, Rick Moranis, Annie Potts",United States,nan
Gremlins,Joe Dante,"Zach Galligan, Phoebe Cates, Hoyt Axton",United States,nan
I Guerrieri dell'anno 2072,Lucio Fulci,"Jared Martin, Fred Williamson, Howard Ross",Italy,nan
Iceman,Fred Schepisi,"Timothy Hutton, Lindsay Crouse, John Lone",United States,nan
The Ice Pirates,Stewart Raffill,"Robert Urich, Mary Crosby, Michael D. Roberts",United States,nan
Impulse,Graham Baker,"Tim Matheson, Meg Tilly, Hume Cronyn",United States,nan
The Last Starfighter,Nick Castle,"Lance Guest, Catherine Mary Stewart, Robert Preston, Dan O'Herlihy",United States,nan
Macross: Do You Remember Love?,Shoji Kawamori,"Mari Iijima (voice), Arihiro Hase (voice), Mika Doi (voice), Michio Hazama (voice)",Japan,nan
The Meeting,Mikhail Titov,nan,Soviet Union,Animated short film
Nausicaä of the Valley of the Wind,Hayao Miyazaki,"Sumi Shimamoto (voice), Mahito Tsujimura (voice), Hisako Kyôda (voice)",Japan,nan
The Next One,Nico Mastorakis,"Keir Dullea, Adrienne Barbeau, Peter Hobbs",Greece,nan
Night of the Comet,Thom Eberhardt,"Catherine Mary Stewart, Kelli Maroney, Robert Beltran",United States,nan
Nineteen Eighty-Four,Michael Radford,"John Hurt, Richard Burton, Suzanna Hamilton",United Kingdom,nan
The Noah's Ark Principle,Roland Emmerich,"Richy Müller, Franz Buchrieser",West Germany,nan
The Philadelphia Experiment,Stewart Raffill,"Michael Paré, Nancy Allen, Eric Christmas",United States,nan
Repo Man,Alex Cox,"Harry Dean Stanton, Emilio Estevez, Olivia Barash",United States,nan
The Return of Godzilla,Koji Hashimoto (director),"Raymond Burr, Ken Tanaka",JapanUnited States,nan
Runaway,Michael Crichton,"Tom Selleck, Cynthia Rhodes, Gene Simmons, Kirstie Alley",United States,nan
Sayonara Jupiter,Koji Hashimoto,"Tomokazu Miura, Dangely Diane, Miyuki Ono, Rachel Huggett",Japan,nan
Star Trek III: The Search for Spock,Leonard Nimoy,"William Shatner, Leonard Nimoy, DeForest Kelley, Christopher Lloyd",United States,nan
Starman,John Carpenter,"Jeff Bridges, Karen Allen, Charles Martin Smith",United States,nan
The Terminator,James Cameron,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton",United States,[nb 12]
The Toxic Avenger,"Lloyd Kaufman, Michael Herz","Mitch Cohen, Mark Torgl, Andree Maranda",United States,Science fiction action[33]
Urusei Yatsura 2: Beautiful Dreamer,Mamoru Oshii,"Fumi Hirano (voice), Toshio Furukawa (voice), Akira Kamiya (voice)",Japan,Second film in the Urusei Yatsura film series
1985,1985,1985,1985,1985
Back to the Future,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson, Thomas F. Wilson",United States,[nb 13]
Brazil,Terry Gilliam,"Jonathan Pryce, Michael Palin, Kim Greist, Robert De Niro",United Kingdom,[nb 14]
City Limits,Aaron Lipstadt,"Darrell Larson, John Stockwell, Kim Cattrall",United States,nan
Cocoon,Ron Howard,"Don Ameche, Wilford Brimley, Hume Cronyn, Brian Dennehy, Steve Guttenberg, Maureen Stapleton, Jessica Tandy",United States,nan
Contract,Vladimir Tarasov,"Aleksandr Kaydanovskiy (voice), Yevgeniy Steblov (voice), Boris Ivanov (voice)",Soviet Union,Animated short film
Creature,William Malone,"Stan Ivar, Wendy Schaal, Lyman Ward, Robert Jaffe, Diane Salinger",United States,nan
D.A.R.Y.L.,Simon Wincer,"Barret Oliver, Mary Beth Hurt, Michael McKean, Kathryn Walker",United States,nan
The Dungeonmaster,"Dave Allen, Charles Band","Jeffrey Byron, Leslie Wing, Richard Moll",United States,nan
Day of the Dead,George Romero,"Lori Cardille, Joseph Pilato, Richard Liberty, Sherman Howard",United States,nan
Enemy Mine,Wolfgang Petersen,"Dennis Quaid, Louis Gossett, Jr., Brion James",United States,nan
Explorers,Joe Dante,"Ethan Hawke, River Phoenix, Jason Presson",United States,nan
Galaxy Invader,Don Dohler,"Richard Ruxton, George Stover, Faye Tilles, Glenn Barnes",United States,nan
"Gwen, or the Book of Sand",Jean-François Laguionie,"Michel Robin (voice), Lorella Di Cicco (voice)",France,Animated film
Joey,Roland Emmerich,"Joshua Morrell, Eva Kryll",West Germany,nan
Lifeforce,Tobe Hooper,"Steve Railsback, Peter Firth, Frank Finlay",United KingdomUnited States,nan
Mad Max Beyond Thunderdome,"George Ogilvie, George Miller","Mel Gibson, Tina Turner",Australia,nan
Morons from Outer Space,Mike Hodges,"Mel Smith, Griff Rhys Jones, Paul Brown",United Kingdom,nan
My Science Project,Jonathan Betuel,"John Stockwell, Fisher Stevens, Raphael Sbarge",United States,nan
Odin: Photon Sailer Starlight,Toshio Masuda,nan,Japan,nan
The Quiet Earth,Geoff Murphy,"Bruno Lawrence, Alison Routledge",New Zealand,nan
Radioactive Dreams,Albert Pyun,"Michael Dudikoff, Lisa Blount, Don Murray",United States,nan
Real Genius,Martha Coolidge,"Val Kilmer, Gabriel Jarret",United States,nan
Re-Animator,Stuart Gordon,"Jeffrey Combs, Bruce Abbott, Barbara Crampton",United States,nan
The Return of the Living Dead,Dan O'Bannon,"Clu Gulager, James Karen, Don Calfa",United States,Science fiction horror comedy[34]
Space Rage,Conrad E. Palmisano,"Richard Farnsworth, Michael Paré, John Laughlin",United States,nan
Starchaser: The Legend of Orin,Steven Hahn,"Joe Colligan (voice), Anthony De Longis (voice), Carmen Argenziano (voice)",United States,Animated film
The Stuff,Larry Cohen,"Michael Moriarty, Andrea Marcovicci, Garrett Morris, Paul Sorvino",United States,nan
Trancers,Charles Band,"Tim Thomerson, Helen Hunt",United States,nan
Two Tickets to India,Roman Kachanov,"Anatoliy Arabenov (voice), Marina Boskan'yants (voice), Iosif Kuroyan (voice)",Soviet Union,Animated short film
Underworld,George Pavlou,"Denholm Elliott, Miranda Richardson, Steven Berkoff",UK,Sci-fi horror[35]
Urusei Yatsura 3: Remember My Love,Kazuo Yamazaki,"Fumi Hirano (voice), Toshio Furukawa (voice), Akira Kamiya (voice)",Japan,Third film in the Urusei Yatsura film series
Weird Science,John Hughes,"Anthony Michael Hall, Kelly Le Brock, Ilan Mitchell-Smith, Bill Paxton",United States,nan
1986,1986,1986,1986,1986
Aliens,James Cameron,"Sigourney Weaver, Paul Reiser, Michael Biehn, Bill Paxton",United States,[nb 15]
Armadillo Blood,Marcos Bertoni,"Flora Calviño, Henrique Zanetta, Louis Chilson",Brazil,Super 8 eco-dystopian short film. Portuguese title: Sangue de Tatu[12][42]
The Aurora Encounter,"Jim McCullough, Sr.","Jack Elam, Peter Brown, Carol Bagdasarian",United States,[25]
Chopping Mall,Jim Wynorski,"Kelli Maroney, Tony O'Dell, Russell Todd",United States,[25]
Critters,Stephen Herek,"Dee Wallace, M. Emmet Walsh, Billy Green Bush",United States,nan
Dead End Drive-In,Brian Trenchard-Smith,"Ned Manning, Natalie McCurry, Peter Whitford",Australia,nan
Dead Man's Letters,Konstantin Lopushansky,"Rolan Bykov, Iosif Ryklin",Soviet Union,"antiutopia, post-apocalyptic film, psychological drama"
Death Powder,Shigeru Izumiya,"Shigeru Izumiya, Rikako Murakami, Takichi Inukai",Japan,nan
Deadly Friend,Wes Craven,"Matthew Laborteaux, Kristy Swanson, Michael Sharrett",United States,nan
Eliminators,Peter Manoogian,"Andrew Prine, Denise Crosby, Patrick Reynolds",United States,nan
Fist of the North Star,Toyoo Ashida,"Akira Kamiya (voice), Yuriko Yamamoto (voice), Kenji Utsumi (voice)",Japan,nan
Flight of the Navigator,Randal Kleiser,"Joey Cramer, Veronica Cartwright, Cliff DeYoung, Sarah Jessica Parker",United States,nan
The Fly,David Cronenberg,"Jeff Goldblum, Geena Davis, John Getz",United StatesCanada,[nb 16]
From Beyond,Stuart Gordon,"Jeffrey Combs, Barbara Crampton, Ken Foree",United States,Science fiction horror[43]
"Ga, Ga - Chwala bohaterom",Peter Szulkin,"Katarzyna Figura, Daniel Olbrychski, Marek Walczewski, Jan Nowicki",Poland,nan
Gröna gubbar från Y.R.,Hans Hatwig,"Carl Billquist, Curt Broberg, Åsa Dahlenborg",Sweden,[44][nb 17]
Howard the Duck,Willard Huyck,"Lea Thompson, Jeffrey Jones, Tim Robbins",United States,[nb 18]
Invaders from Mars,Tobe Hooper,"Karen Black, Hunter Carson, Timothy Bottoms, Louise Fletcher",United States,nan
Kamikaze,Didier Grousset,"Richard Bohringer, Dominique Lavanant, Michel Galabru",France,[45]
Kin-dza-dza!,Georgi Daneliya,"Stanislav Lyubshin, Yevgeni Leonov, Yury Yakovlev",Soviet Union,nan
Maximum Overdrive,Stephen King,"Emilio Estevez, Pat Hingle, Laura Harrington",United States,nan
Night of the Creeps,Fred Dekker,"Jason Lively, Steve Marshall, Jill Whitlow",United States,nan
Programmed to Kill,Allan Holzman,"Robert Ginty, Sandahl Bergman, Louise Claire Clark, Alex Courtney",United States,[46]
Project A-ko,Katsuhiko Nishijima,nan,Japan,nan
Short Circuit,John Badham,"Ally Sheedy, Steve Guttenberg, Fisher Stevens",United States,nan
Star Crystal,Lance Lindsay,"C. Juston Campbell, Faye Bolt, John W. Smith",United States,nan
Star Trek IV: The Voyage Home,Leonard Nimoy,"William Shatner, Leonard Nimoy, DeForest Kelley, Catherine Hicks",United States,nan
TerrorVision,Ted Nicolaou,"Diane Franklin, Gerrit Graham, Mary Woronov",United States,[47]
They Were Eleven,Satoshi Dezaki,nan,Japan,nan
The Transformers: The Movie,Nelson Shin,"Leonard Nimoy (voice), Robert Stack (voice), Judd Nelson (voice), Orson Welles (voice), Peter Cullen (voice)",United States,Animated film
Urusei Yatsura 4: Lum the Forever,Kazuo Yamazaki,"Fumi Hirano (voice), Toshio Furukawa (voice), Akira Kamiya (voice)",Japan,Fourth film in the Urusei Yatsura film series
Vendetta dal futuro,Sergio Martino,"Daniel Greene, Janet Agren, John Saxon",Italy,nan
The Wraith,Mike Marvin,"Charlie Sheen, Nick Cassavetes, Randy Quaid",United States,nan
Zone Troopers,Danny Bilson,"Tim Thomerson, Tim Van Patten",United States,[48]
1987,1987,1987,1987,1987
*batteries not included,Matthew Robbins,"Hume Cronyn, Jessica Tandy, Frank McRae",United States,nan
Amazon Women on the Moon,John Landis,"Arsenio Hall, Michelle Pfeiffer, Steve Guttenberg",United States,nan
Bad Taste,Peter Jackson,"Peter Jackson, Mike Minett, Pete O'Herne",New Zealand,nan
Cherry 2000,Steve De Jarnatt,"Melanie Griffith, David Andrews",United States,nan
Creepozoids,David DeCoteau,"Linnea Quigley, Ashlyn Gere",United States,nan
The Curse,"David Chaskin, David Keith","Wil Wheaton, Claude Akins, Malcolm Danare",United States,[49]
Death Run,Michael J. Murphy,"Rob Bartlett, Lynn Lowry",United States,nan
The Hidden,Jack Sholder,"Kyle MacLachlan, Michael Nouri, Claudia Christian",United States,nan
Innerspace,Joe Dante,"Dennis Quaid, Martin Short, Meg Ryan",United States,[nb 19]
The Kindred,"Stephen Carpenter, Jeffrey Obrow","David Allen Brooks, Rod Steiger, Amanda Pays",United States,[50]
The Lesson,Robert Sahakyants,nan,Soviet Union,Animated short film
Making Mr. Right,Susan Seidelman,"John Malkovich, Ann Magnuson, Glenne Headly",United States,nan
Masters of the Universe,Gary Goddard,"Dolph Lundgren, Frank Langella, Meg Foster",United States,nan
Mr. India,Shekhar Kapur,"Anil Kapoor, Sri Devi, Satish Kaushik, Amrish Puri, Annu Kapoor",India,nan
Nightflyers,"Robert Collector, Gene Warren","Catherine Mary Stewart, John Standing, Michael Praed, Lisa Blount",United States,[51]
Predator,John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo",United States,nan
Prison Ship,Fred Olen Ray,"Ross Hagen, Sandy Brooke, Susan Stokey, John Carradine",United States,[nb 20][52][53]
Project X,Jonathan Kaplan,"Matthew Broderick, Helen Hunt, William Sadler",United States,nan
RoboCop,Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Kurtwood Smith",United States,[nb 21]
Royal Space Force: The Wings of Honnêamise,Hiroyuki Yamaga,nan,Japan,nan
The Running Man,Paul Michael Glaser,"Arnold Schwarzenegger, María Conchita Alonso, Richard Dawson",United States,nan
Spaceballs,Mel Brooks,"Mel Brooks, Bill Pullman, John Candy, Rick Moranis, Daphne Zuniga",United States,nan
Slave Girls from Beyond Infinity,Ken Dixon,"Elizabeth Kaitan, Cindy Beal, Brinke Stevens",United States,nan
Steel Dawn,Lance Hool,"Patrick Swayze, Lisa Niemi, Brion James",United States,nan
The Stepford Children,Alan J. Levi,"Barbara Eden, Don Murray, Randall Batinkoff, Tammy Lauren",United States,nan
Timestalkers,Michael Schultz,"William Devane, Lauren Hutton, Forrest Tucker, James Avery, John Ratzenberger",United States,nan
